playerid,PlayerSeason,WAR
1006466,1918 Jimmy Johnston,1.9
1001514,1924 Eddie Brown,1.9
1003307,1904 Pop Dillon,1.9
1004266,1891 Dave Foutz,1.9
13624,2020 Corey Seager,1.9
1003360,1902 Cozy Dolan,1.9
1009793,1917 Ivy Olson,1.9
1314,1994 Raul Mondesi,1.8
1009686,1891 Darby O'Brien,1.8
1014053,1960 Maury Wills,1.8
1006484,1965 Lou Johnson,1.8
1006046,1885 Pete Hotaling,1.8
1008391,1885 Bill McClellan,1.8
651,2003 Shawn Green,1.8
1007751,1934 Al Lopez,1.8
1002913,1914 George Cutshaw,1.8
716,1999 Eric Young,1.8
1002038,1906 Doc Casey,1.8
205,1995 Jose Offerman,1.8
1014053,1970 Maury Wills,1.8
1009386,1991 Eddie Murray,1.8
1001772,1993 Brett Butler,1.8
1000180,1907 Whitey Alperman,1.8
1011481,1983 Steve Sax,1.7
1005795,1922 Andy High,1.7
1004698,1929 Wally Gilbert,1.7
1005643,1927 Harvey Hendrick,1.7
1008145,1984 Mike Marshall,1.7
1001455,1983 Greg Brock,1.7
1002622,1894 Tommy Corcoran,1.7
1008145,1983 Mike Marshall,1.6
1002629,1889 Pop Corkhill,1.6
1004698,1930 Wally Gilbert,1.6
5631,2018 Matt Kemp,1.6
1003088,1967 Willie Davis,1.6
6265,2007 Andre Ethier,1.6
1004557,1982 Steve Garvey,1.6
1002454,1891 Hub Collins,1.6
1002038,1907 Doc Casey,1.6
1009473,1958 Charlie Neal,1.6
1009919,1942 Mickey Owen,1.6
1010776,1956 Pee Wee Reese,1.6
1011900,1897 Billy Shindle,1.6
1005795,1923 Andy High,1.6
1000997,1931 Del Bissonette,1.6
1001779,1926 Johnny Butler,1.6
1005478,1937 Buddy Hassett,1.6
659,2000 Eric Karros,1.5
1006180,1908 John Hummel,1.5
1004724,1955 Jim Gilliam,1.5
1005053,1923 Tommy Griffith,1.5
1004311,1931 Johnny Frederick,1.5
1009423,1918 Hy Myers,1.5
659,1997 Eric Karros,1.5
1014053,1961 Maury Wills,1.5
275,1994 Delino DeShields,1.5
1001472,1990 Hubie Brooks,1.5
1012623,1933 Joe Stripp,1.5
13757,2020 Chris Taylor,1.5
1004557,1981 Steve Garvey,1.5
1006466,1919 Jimmy Johnston,1.4
659,2002 Eric Karros,1.4
1011847,1908 Tommy Sheehan,1.4
653,2000 Mark Grudzielanek,1.4
205,1993 Jose Offerman,1.4
88,2007 Rafael Furcal,1.4
1009686,1892 Darby O'Brien,1.3
1012766,1885 Ed Swartwood,1.3
1001656,1908 Al Burch,1.3
1003340,1903 John Dobbs,1.3
1004343,1936 Lonny Frey,1.3
1004648,1915 Gus Getz,1.3
1013530,1884 Oscar Walker,1.3
1908,2016 Adrian Gonzalez,1.3
1002913,1917 George Cutshaw,1.3
1003972,1926 Gus Felix,1.2
1010009,1968 Wes Parker,1.2
15998,2020 Cody Bellinger,1.2
1003554,1985 Mariano Duncan,1.2
1002957,1895 Tom Daly,1.2
1007750,1980 Davey Lopes,1.2
653,2002 Mark Grudzielanek,1.2
433,1996 Todd Hollandsworth,1.2
1006396,1900 Hughie Jennings,1.2
1003005,1917 Jake Daubert,1.2
1001514,1925 Eddie Brown,1.2
4556,2009 James Loney,1.1
1008391,1887 Bill McClellan,1.1
1004724,1958 Jim Gilliam,1.1
1002973,1991 Kal Daniels,1.1
1009919,1944 Mickey Owen,1.1
1002913,1916 George Cutshaw,1.1
1005883,1958 Gil Hodges,1.1
1011900,1896 Billy Shindle,1.1
1010281,1887 Bill Phillips,1.1
1007586,1906 Phil Lewis,1.1
246,2006 Kenny Lofton,1.0
1012439,1927 Jigger Statz,1.0
1012143,1890 Germany Smith,1.0
653,2001 Mark Grudzielanek,1.0
1000503,1928 Dave Bancroft,1.0
1011481,1985 Steve Sax,1.0
1011900,1894 Billy Shindle,1.0
1000180,1906 Whitey Alperman,1.0
1007386,1940 Cookie Lavagetto,1.0
1002913,1915 George Cutshaw,1.0
9256,2020 A.J. Pollock,1.0
659,1992 Eric Karros,1.0
1014442,1958 Don Zimmer,0.9
1008034,1906 Billy Maloney,0.9
1007303,1981 Ken Landreaux,0.9
1001285,1935 Buzz Boyle,0.9
1010771,1993 Jody Reed,0.9
639,2001 Adrian Beltre,0.9
1008034,1907 Billy Maloney,0.9
1008431,1902 Tom McCreery,0.8
1001716,1893 Oyster Burns,0.8
1004698,1931 Wally Gilbert,0.8
1012481,1915 Casey Stengel,0.8
1009423,1922 Hy Myers,0.8
1000232,1899 John Anderson,0.8
4556,2010 James Loney,0.8
1005036,1989 Alfredo Griffin,0.8
4229,2016 Howie Kendrick,0.8
1009423,1917 Hy Myers,0.8
1002848,1933 Tony Cuccinello,0.8
1002692,1950 Billy Cox,0.7
1001617,1935 Jim Bucher,0.7
1001657,1886 Ernie Burch,0.7
1001625,1973 Bill Buckner,0.7
1000997,1929 Del Bissonette,0.7
1003084,1961 Tommy Davis,0.7
1002588,1936 Johnny Cooney,0.7
1004076,1913 Bob Fisher,0.7
1011400,1990 Juan Samuel,0.7
5235,2021 Justin Turner,0.7
19197,2021 Will Smith,0.6
1001197,1944 Frenchy Bordagaray,0.6
