Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
8/14/2015,Washington Nationals,SFG,1,0,1,18,1,1,0,0,0,0,0,3,17,7,6,6,2,0,0,1,1,0,3,15
8/9/2015,Washington Nationals,COL,1,0,0,6,1,1,0,0,0,0,0,6,27,8,4,4,3,1,1,0,1,0,10,36
8/4/2015,Washington Nationals,ARI,1,0,0,4.5,1,1,0,0,0,0,0,6,25,4,3,3,0,3,0,0,0,0,9,60
7/30/2015,Washington Nationals,MIA,1,1,0,0,1,1,0,0,0,0,0,7,25,3,0,0,0,3,0,0,1,0,6,74
7/24/2015,Washington Nationals,PIT,1,0,0,9,1,1,0,0,0,0,0,5,23,7,5,5,3,1,0,0,0,0,8,27
7/19/2015,Washington Nationals,LAD,1,0,1,1.5,1,1,0,0,0,0,0,6,26,7,1,1,0,1,0,0,1,0,8,63
7/12/2015,Washington Nationals,BAL,1,1,0,2.08,1,1,0,0,0,0,0,8.2,30,4,2,2,2,0,0,0,0,0,7,71
7/7/2015,Washington Nationals,CIN,1,0,1,9.64,1,1,0,0,0,0,0,4.2,22,7,5,5,1,0,0,1,0,0,4,35
7/2/2015,Washington Nationals,ATL,1,0,1,2.16,1,1,1,0,0,0,0,8.1,29,5,2,2,0,0,0,0,0,0,9,81
6/26/2015,Washington Nationals,PHI,1,1,0,2.25,1,1,0,0,0,0,0,8,29,5,2,2,1,0,0,0,1,0,7,71
6/20/2015,Washington Nationals,PIT,1,1,0,0,1,1,1,1,0,0,0,9,28,0,0,0,0,0,0,1,0,0,10,102
6/14/2015,Washington Nationals,MIL,1,1,0,0,1,1,1,1,0,0,0,9,29,1,0,0,0,1,0,0,0,0,16,104
6/9/2015,Washington Nationals,NYY,1,0,1,5.4,1,1,0,0,0,0,0,6.2,30,8,4,4,1,1,0,0,0,0,7,49
6/2/2015,Washington Nationals,TOR,1,0,1,6,1,1,0,0,0,0,0,6,27,6,4,4,2,2,0,0,0,0,5,39
5/27/2015,Washington Nationals,CHC,1,1,0,0,1,1,0,0,0,0,0,7,27,5,0,0,0,1,0,0,0,0,13,81
5/22/2015,Washington Nationals,PHI,1,1,0,1.13,1,1,0,0,0,0,0,8,29,4,1,1,0,1,0,0,0,0,6,79
5/16/2015,Washington Nationals,SDP,1,1,0,0,1,1,0,0,0,0,0,7,27,4,0,0,0,2,0,0,1,0,11,79
5/11/2015,Washington Nationals,ARI,1,1,0,1.29,1,1,0,0,0,0,0,7,27,5,1,1,1,1,0,0,0,0,6,65
